full_name,name,description,num_developers,total_commits,languages,primary_language,first_commit_date,last_commit_date,license_spdx,license_name,is_osi_approved,topics,has_contributing,has_code_of_conduct,has_governance,has_readme,has_issue_template,has_pr_template,health_percentage,stars,watchers,forks,cloud_detected,cloud_signals,ai_ml_detected,ai_ml_signals,has_ci_cd,ci_cd_workflows,deployments_count,created_at,updated_at,pushed_at,size_kb
meshtastic/Meshtastic-Android,Meshtastic-Android,Android application for Meshtastic,108,6838,Kotlin=6612618;Shell=121771;PowerShell=63660;Python=28060;JavaScript=21930;Java=17084;AIDL=8738;Ruby=1864,Kotlin,2020-01-20T23:53:22+00:00,2026-06-03T22:07:08+00:00,GPL-3.0,GNU General Public License v3.0,True,gps;lora;android;meshtastic;bluetooth-low-energy;encrypted-messaging;esp32;iot;jetpack-compose;kotlin;kotlin-multiplatform;mapping;mesh-networking;off-grid;protobuf;radio,True,True,False,True,False,True,100,1662,44,463,False,,False,,True,"Make Release;CodeQL;Close Stale Issues;Dependabot Updates;Pull Request CI;Android CI (Merge Queue);Scheduled Updates (Firmware, Hardware, Translations);Check PR Labels;Pull Request Labeler;Copilot cloud agent;Create or Promote Release;Promote Release;Post-Release Cleanup;Copilot code review;AI Moderator;Issue Triage (Models);PR Triage (Models);Reusable Android Check;Publish Core Libraries;Main CI (Verify & Build);Screenshot Tests;Update Changelog;Docs Staleness Check;UI & Docs Governance;Deploy Documentation;Docs Release;Sync Android App Documentation;Copilot;Verify Flatpak Offline Build;Dependency Submission",2010,2020-01-20T23:55:32+00:00,2026-06-04T02:54:40+00:00,2026-06-04T10:29:44+00:00,72677
meshtastic/firmware,firmware,"The official firmware for Meshtastic, an open-source, off-grid mesh communication system.",414,11938,C++=5800689;C=2656686;Python=749535;Shell=45210;Batchfile=19811;Dockerfile=9590;Linker Script=6574;PowerShell=4466;Nix=2244;JavaScript=280;Assembly=170,C++,2020-02-01T16:30:53+00:00,2026-06-03T22:05:03+00:00,GPL-3.0,GNU General Public License v3.0,True,gps;lora;hiking;ttgo-tbeam;heltec;meshtastic;ttgo;esp32;nrf52;mesh-networks;off-grid;mesh;pico;rp2040;stm32,True,True,False,True,False,True,100,7720,154,2422,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,Update protobufs and regenerate classes;CI;Semgrep Differential Scan;Semgrep Full Scan;Nightly;process stale Issues and PR's;Run Tests on Native platform;Build Debian Source Package;Package for Launchpad PPA;Trigger release workflows upon Publish;Package for OpenSUSE Build Service;Trigger COPR build;Daily Packaging;Build Docker;Build Docker Multi-Arch Manifest;Package PlatformIO Library Dependencies;Pull Request;Annotate PR with trunk issues;Check PR Labels;Build;Build One Target;Tests;Copilot code review;Welcome First-Time Contributor;Contribution Quality Check;Issue Triage (Models);PR Triage (Models);Copilot cloud agent;Build MacOS Binary;Copilot,0,2020-02-01T17:00:35+00:00,2026-06-04T07:50:40+00:00,2026-06-04T09:24:18+00:00,72066
meshtastic/web,web,Meshtastic Web Client/JS Monorepo,74,1519,TypeScript=1119273;CSS=7879;HTML=1001;Dockerfile=317,TypeScript,2021-04-05T23:29:12+00:00,2026-05-27T01:27:19+00:00,GPL-3.0,GNU General Public License v3.0,True,meshtastic;mesh;react;self-hosted,False,False,False,True,False,True,50,795,26,286,True,language:Dockerfile,False,,True,Push to Main CI;Crowdin Download Translations Action;Crowdin Upload Sources Action;Crowdin Upload Translations Action;Close inactive issues;Nightly Release;Pull Request CI;Release Packages;Create Protobuf Release for JSR;Release Web;Update Stable Branch from Main on Latest Release;Copilot code review;Copilot cloud agent;Dependabot Updates,1514,2021-08-05T23:04:39+00:00,2026-06-02T18:43:10+00:00,2026-06-01T21:44:20+00:00,9222
mysociety/ceuk-marking,ceuk-marking,,5,679,Python=890869;HTML=127065;SCSS=8764;JavaScript=7713;Shell=3735;Dockerfile=729,Python,2022-12-13T16:03:10+00:00,2026-06-03T10:27:11+00:00,NOASSERTION,Other,False,,False,False,False,True,False,False,25,0,0,0,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,Create CEUK Marker docker image;Lint;Mirror to git.mysociety.org;Run project tests;Dependabot Updates,0,2022-12-13T16:11:03+00:00,2026-06-03T10:27:20+00:00,2026-06-03T10:27:16+00:00,1283
oklabflensburg/oddfl,oddfl,Website für den Open Data Day 2025 in Flensburg basierend auf TailwindCSS und gebaut mit Parcel,3,111,HTML=92243;JavaScript=10228;CSS=1466,HTML,2024-01-30T23:32:53+00:00,2026-02-09T10:08:12+00:00,CC0-1.0,Creative Commons Zero v1.0 Universal,False,geodata;opendata;opendataday;website;responsive;flensburg;fossgis;parceljs;schleswig-holstein,True,False,False,True,False,False,62,2,3,3,False,,False,,True,Run codeql;Lighthouse CI;Lint css files;Lint html files;Lint js files,0,2024-01-30T22:31:54+00:00,2026-02-09T10:08:35+00:00,2026-02-09T10:08:31+00:00,10514
oklabflensburg/open-biotope-map,open-biotope-map,Interaktive Biotopkarte für Schleswig-Holstein mit den wichtigsten Merkmalen der wertvoller und erhaltenswerter Biotope als Wissensgrundlage für den Naturschutz.,1,62,HTML=44016;JavaScript=16633;Python=8573;CSS=4018,HTML,2024-10-08T15:31:28+00:00,2026-04-05T13:41:36+00:00,CC0-1.0,Creative Commons Zero v1.0 Universal,False,biotope;fossgis;mapping;naturschutz;opendata;nature,True,False,False,True,False,False,62,1,1,2,False,,False,,True,Run codeql;Lighthouse CI;Lint css files;Lint html files;Lint js files,0,2024-10-08T15:31:28+00:00,2026-04-05T13:41:45+00:00,2026-04-05T13:41:42+00:00,1228
oklabflensburg/open-data-api,open-data-api,Open Data Schnittstelle zur freien Nutzung von Rohdaten in einem maschinenlesbarem json Format mit aggregierten Datensätzen.,4,272,Python=358030;Jinja=37301;Shell=1747,Python,2023-08-30T12:33:36+00:00,2026-04-12T16:56:24+00:00,CC0-1.0,Creative Commons Zero v1.0 Universal,False,datascience;geography;opendata;opendata-api;hacktoberfest;fossgis;geospatial;open-source;opengovernmentdata;geojson-data;json-api,True,False,False,True,False,False,62,6,4,7,False,,False,,True,Run codeql;API Schemathesis tests,0,2023-08-30T12:33:36+00:00,2026-04-12T16:56:33+00:00,2026-04-12T16:56:29+00:00,3722
oklabflensburg/open-emergency-map,open-emergency-map,Interaktive Karte mit Standorten und Kontaktdaten der Polizeidienststellen in Schleswig-Holstein.,1,9,HTML=46084;JavaScript=28768;Python=4770;CSS=3777,HTML,2025-06-01T15:47:39+00:00,2026-04-11T09:07:23+00:00,CC0-1.0,Creative Commons Zero v1.0 Universal,False,,True,False,False,True,False,False,62,0,0,0,False,,False,,False,,0,2025-06-01T15:47:39+00:00,2026-04-11T09:07:32+00:00,2026-04-11T09:07:28+00:00,1002
oklabflensburg/open-monuments-map,open-monuments-map,Interaktive webbasierte digitale Denkmalkarte für Schleswig-Holstein auf Daten Basis der Geodaten Denkmalliste SH,4,292,HTML=46078;JavaScript=21203;Python=14003;CSS=3547,HTML,2023-02-22T14:47:49+00:00,2026-02-10T09:09:32+00:00,CC0-1.0,Creative Commons Zero v1.0 Universal,False,geodata;geojson;mapping;opendata;python-script;monuments;hacktoberfest,True,False,False,True,False,False,50,5,2,4,False,,False,,True,Run codeql;Lighthouse CI;Lint css files;Lint html files;Lint js files;Copilot;Dependabot Updates,0,2023-04-01T18:08:33+00:00,2026-02-10T09:09:37+00:00,2026-05-19T19:01:05+00:00,46767
oklabflensburg/open-parcel-map,open-parcel-map,Interaktive nicht amtliche ALKIS Flurstücksauskunft ohne Eigentümerangaben für Schleswig-Holstein.,2,27,HTML=46740;Python=36008;JavaScript=15319;CSS=4079,HTML,2024-10-31T12:06:25+00:00,2025-09-20T16:35:06+00:00,CC0-1.0,Creative Commons Zero v1.0 Universal,False,alkis;gis;mapping;opendata;osm,True,False,False,True,False,False,62,3,1,2,False,,False,,True,Run codeql;Lighthouse CI;Lint css files;Lint html files;Lint js files,0,2024-10-31T12:05:44+00:00,2026-03-10T15:23:32+00:00,2025-09-20T16:35:11+00:00,1742
oklabflensburg/open-recycling-map,open-recycling-map,Standorte der Recycling Container für Altkleidung und Altglas vom Technisches Betriebszentrum Flensburg,1,36,HTML=44439;JavaScript=6396;Python=4631;CSS=2030,HTML,2023-07-25T07:59:43+00:00,2026-04-05T14:05:14+00:00,CC0-1.0,Creative Commons Zero v1.0 Universal,False,mapping;opendata;python;waste;recycling;hacktoberfest,True,False,False,True,False,False,62,1,3,2,False,,False,,True,CodeQL;Lighthouse CI,0,2023-07-25T07:59:42+00:00,2026-04-05T14:05:31+00:00,2026-04-05T14:05:27+00:00,1948
oklabflensburg/open-school-map,open-school-map,"Die interaktive Schulkarte hilft Eltern und Interessierten, einfach Schulen in Schleswig-Holstein zu finden. Die Karte zeigt Standorte, Kontaktdaten zu den Schulen.",2,124,Vue=63498;Python=22047;JavaScript=5551;CSS=3553;TypeScript=2728,Vue,2024-01-05T17:42:55+00:00,2026-04-12T16:33:22+00:00,CC0-1.0,Creative Commons Zero v1.0 Universal,False,fossgis;mapping;postgis;python;schools;geometry;gis;scripting,True,False,False,True,False,False,62,1,3,1,False,,False,,True,Run codeql;Lighthouse CI;Lint css files;Lint html files;Lint js files,0,2024-01-05T17:42:55+00:00,2026-04-12T16:35:42+00:00,2026-04-12T16:35:37+00:00,2908
oklabflensburg/open-trees-map,open-trees-map,Interaktive webbasierte Karte der lebenden und gefällten Straßenbäume der Stadt Flensburg des TBZ Flensburg,5,99,HTML=47871;JavaScript=26055;Python=21685;CSS=8435,HTML,2023-04-28T07:08:46+00:00,2026-03-24T07:43:04+00:00,CC0-1.0,Creative Commons Zero v1.0 Universal,False,baumkataster;geodata;geojson;opendata;public-domain;hacktoberfest;python,True,False,False,True,False,False,62,3,3,3,False,,False,,True,Run codeql;Lighthouse CI;Lint css files;Lint html files;Lint js files,0,2023-04-28T07:08:45+00:00,2026-03-24T07:43:09+00:00,2026-03-24T07:43:05+00:00,16972
openlegaldata/oldp,oldp,Open Legal Data Platform,10,448,Python=1700748;SCSS=326415;HTML=193248;JavaScript=67415;Makefile=6933;Shell=6791;Dockerfile=2331;CSS=195,Python,2018-05-07T10:18:50+00:00,2026-06-01T15:34:58+00:00,MIT,MIT License,True,legal;open-data;django;documents;search,False,False,False,True,False,False,37,148,8,25,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yaml,False,,True,CI;Docs;Publish;Dependabot Updates;Dependency Graph;pages-build-deployment,85,2018-05-04T14:16:19+00:00,2026-06-01T16:01:12+00:00,2026-06-01T15:35:59+00:00,29059
ton-An/station_reach,station_reach,See where transit takes you!,1,272,Dart=140549;C++=25137;CMake=19792;HTML=13589;Ruby=2757;Swift=2199;C=1425;Kotlin=135;Objective-C=38,Dart,2025-08-26T14:55:16+00:00,2026-05-11T09:46:09+00:00,MIT,MIT License,True,,False,False,False,True,False,False,42,8,0,0,False,,False,,False,,49,2025-08-26T14:55:15+00:00,2026-05-31T14:55:17+00:00,2026-05-11T09:46:12+00:00,20537
